"name"	"N"	"type"	"selectedFit"	"g"	"d"	"phi"
"1"	"10"	7	"included"	"gdphi"	0.00456592975901095	0.0329370244604891	0.559440083612699
"2"	"100"	7	"included"	"dx"	NA	0.00540414463206978	NA
"3"	"1001"	8	"included"	"gx"	0.00227853044269343	NA	NA
"4"	"100107401"	7	"included"	"gd"	0.0023553710446579	0.0437229737684519	NA
"5"	"100107501"	12	"included"	"dx"	NA	0.0110238945770746	NA
"6"	"100107601"	10	"included"	"gd"	0.00104088529199248	0.0214571510568426	NA
"7"	"1002"	8	"included"	"gd"	0.00214511454644881	0.0224083890620583	NA
"8"	"1003"	9	"included"	"gd"	0.000987262310095756	0.0246304987805456	NA
"9"	"1005"	4	"included"	"gx"	0.00621670461132328	NA	NA
"10"	"1008"	6	"included"	"dx"	NA	0.00935241012299525	NA
"11"	"1009"	12	"included"	"gdphi"	0.000718296388667683	0.00682191977336181	0.999551890411959
"12"	"101"	9	"included"	"gd"	0.00108348685366437	0.0239482984452601	NA
"13"	"1010"	5	"included"	"dx"	NA	0.0554233855514817	NA
"14"	"1012"	4	"included"	"dx"	NA	0.010123384973294	NA
"15"	"1013"	4	"included"	"dx"	NA	0.00629201385070729	NA
"16"	"1015"	12	"included"	"gd"	0.00267357612106317	0.01321452249339	NA
"17"	"1016"	10	"excluded"	"not fit"	NA	NA	NA
"18"	"1017"	5	"excluded"	"not fit"	NA	NA	NA
"19"	"1018"	14	"included"	"gdphi"	0.00109203605053806	0.028661711970539	0.9960373498705
"20"	"1019"	13	"excluded"	"not fit"	NA	NA	NA
"21"	"102"	3	"included"	"gd"	0.0263482013845462	0.0377129827949693	NA
"22"	"1020"	6	"included"	"gd"	0.000685526447406379	0.0609281163221383	NA
"23"	"1021"	4	"included"	"gd"	0.0193636334323228	0.062753438447032	NA
"24"	"1022"	6	"included"	"gd"	0.00336944017891138	0.0214817558910379	NA
"25"	"1023"	11	"included"	"dx"	NA	0.0170717142548874	NA
"26"	"1024"	2	"included"	"gx"	0.0308979143650355	NA	NA
"27"	"1025"	2	"included"	"dx"	NA	0.0491112839208867	NA
"28"	"1026"	10	"included"	"gd"	0.00018219645219701	0.0788514647352368	NA
"29"	"1027"	16	"included"	"gd"	3.54201190818025e-05	0.049522403946668	NA
"30"	"1028"	3	"excluded"	"not fit"	NA	NA	NA
"31"	"1029"	3	"included"	"gd"	0.00808456283136935	0.031812834649352	NA
"32"	"103"	9	"included"	"gd"	0.0019215525492406	0.0135517886014068	NA
"33"	"1030"	13	"included"	"gd"	9.25471677383917e-05	0.0148064203098738	NA
"34"	"1032"	3	"included"	"dx"	NA	0.011047886130379	NA
"35"	"1033"	5	"included"	"gx"	0.0086266932913277	NA	NA
"36"	"1035"	5	"included"	"gx"	0.00291843863151451	NA	NA
"37"	"1036"	9	"included"	"gd"	0.00063314240161777	0.0979666527703309	NA
"38"	"1037"	9	"included"	"gd"	0.00111249172240203	0.0168852480428726	NA
"39"	"1039"	16	"included"	"gdphi"	0.00131246371250055	0.00974562604842766	0.987965772285478
"40"	"104"	4	"excluded"	"not fit"	NA	NA	NA
"41"	"1040"	18	"included"	"dx"	NA	0.0173353951000414	NA
"42"	"1041"	8	"included"	"dx"	NA	0.00552161566972667	NA
"43"	"1042"	11	"included"	"gd"	0.000316955793308974	0.0479610432956827	NA
"44"	"1043"	6	"included"	"gd"	0.00354148510921817	0.0178896828197068	NA
"45"	"1044"	3	"included"	"dx"	NA	0.0434712240713758	NA
"46"	"1045"	9	"included"	"gd"	0.000525138425890309	0.0303539664429713	NA
"47"	"1046"	16	"included"	"gd"	0.000130404693362688	0.0427844200854727	NA
"48"	"1047"	6	"included"	"dx"	NA	0.00648442708835601	NA
"49"	"1048"	4	"included"	"dx"	NA	0.0297750965091005	NA
"50"	"1049"	2	"included"	"dx"	NA	0.0419501696200721	NA
"51"	"105"	9	"included"	"dx"	NA	0.0119616628488362	NA
"52"	"1050"	16	"included"	"gd"	0.00032616761856465	0.0115132170579451	NA
"53"	"1051"	13	"included"	"gdphi"	0.00113754454004118	0.0144610777326743	0.997326480008769
"54"	"1052"	10	"included"	"gdphi"	0.0046398598079812	0.101921761191256	0.954216134619514
"55"	"1053"	8	"included"	"dx"	NA	0.0173100937439043	NA
"56"	"1054"	22	"included"	"gd"	0.00244807240582737	0.00342633392323823	NA
"57"	"1055"	16	"included"	"gdphi"	0.000232329329726744	0.00175392220715773	0.999948554493635
"58"	"1056"	12	"excluded"	"not fit"	NA	NA	NA
"59"	"1057"	13	"included"	"gd"	0.00166408476133417	0.00460183447536997	NA
"60"	"1058"	7	"included"	"gd"	0.000732532063279864	0.0189287393214852	NA
"61"	"1059"	11	"included"	"gd"	0.000298463751397803	0.0651972291274523	NA
"62"	"106"	10	"included"	"gd"	0.00145163259436661	0.0207827730865048	NA
"63"	"1060"	3	"included"	"dx"	NA	0.00398366761543484	NA
"64"	"1062"	23	"included"	"gd"	0.000533796886229898	0.0159511241842528	NA
"65"	"1063"	19	"included"	"dx"	NA	0.0409914680173713	NA
"66"	"1064"	6	"included"	"dx"	NA	0.0135700439137124	NA
"67"	"1065"	5	"included"	"gx"	0.0147208641219268	NA	NA
"68"	"1066"	10	"included"	"dx"	NA	0.00424660097526571	NA
"69"	"1067"	10	"excluded"	"not fit"	NA	NA	NA
"70"	"1068"	11	"included"	"gdphi"	0.00052131797224723	0.0107077361676955	0.999758011541012
"71"	"1069"	11	"included"	"dx"	NA	0.0085125653353202	NA
"72"	"107"	2	"included"	"gx"	0.0178081207225846	NA	NA
"73"	"1070"	9	"included"	"gd"	0.00320051334875505	0.00900732426767087	NA
"74"	"1071"	16	"included"	"gd"	4.59065737624468e-05	0.0733689607362393	NA
"75"	"1073"	8	"included"	"dx"	NA	0.0762808065798711	NA
"76"	"1074"	9	"included"	"gd"	0.000488622188157946	0.0442178776172432	NA
"77"	"1075"	6	"included"	"dx"	NA	0.0405795008081572	NA
"78"	"1076"	4	"included"	"gx"	0.0111110756471317	NA	NA
"79"	"1077"	10	"included"	"gdphi"	0.00273623442409956	0.0390619437438156	0.987533691626833
"80"	"1079"	4	"included"	"gx"	0.00850628046435147	NA	NA
"81"	"108"	6	"included"	"gdphi"	0.003438353698433	0.028315091314556	0.968131703768954
"82"	"1080"	13	"included"	"gd"	0.000120578312268034	0.0456754522183904	NA
"83"	"1081"	12	"included"	"gdphi"	0.00338229841792137	0.0191636425187255	0.950262704816651
"84"	"1082"	24	"included"	"gd"	4.64921975075522e-05	0.0228938096298154	NA
"85"	"1083"	5	"excluded"	"not fit"	NA	NA	NA
"86"	"1084"	15	"included"	"dx"	NA	0.00116100752911892	NA
"87"	"1085"	3	"excluded"	"not fit"	NA	NA	NA
"88"	"1086"	4	"included"	"gx"	0.0106595166777043	NA	NA
"89"	"1087"	25	"included"	"gd"	0.000503168808810958	0.0126380816438698	NA
"90"	"1089"	17	"included"	"gd"	0.000255583123251657	0.0201346172296588	NA
"91"	"109"	3	"included"	"dx"	NA	0.0540508789243977	NA
"92"	"1090"	11	"included"	"gd"	0.00226364215012608	0.0070957669969185	NA
"93"	"1091"	10	"included"	"gd"	0.000818349258343594	0.0344782628658989	NA
"94"	"1093"	4	"included"	"gx"	0.00475449682720303	NA	NA
"95"	"1095"	8	"included"	"gd"	0.00192576561216938	0.0133061738922628	NA
"96"	"1096"	3	"excluded"	"not fit"	NA	NA	NA
"97"	"1097"	19	"included"	"gdphi"	4.06184462749854e-05	0.02491682990352	0.999998299216263
"98"	"1098"	13	"included"	"gx"	0.00192530112421709	NA	NA
"99"	"1099"	6	"included"	"gd"	0.00443511228337794	0.0263714254446102	NA
"100"	"11"	7	"included"	"gd"	0.00310837687113988	0.0272227516892674	NA
"101"	"1100"	2	"included"	"dx"	NA	0.012004726042194	NA
"102"	"1101"	21	"included"	"gd"	0.000177890320164039	0.0203311684732468	NA
"103"	"1102"	6	"excluded"	"not fit"	NA	NA	NA
"104"	"1103"	14	"included"	"gdphi"	0.00011092158915334	0.0487256210216703	0.999987475807764
"105"	"1104"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"106"	"1105"	13	"included"	"dx"	NA	0.00584426388178898	NA
"107"	"1106"	4	"included"	"dx"	NA	0.0900395600637314	NA
"108"	"1107"	5	"included"	"gd"	0.00163885660245671	0.0447852164370105	NA
"109"	"1108"	4	"included"	"gdphi"	0.000490351870725442	0.00756930148980134	0.99999357063741
"110"	"1109"	7	"included"	"gx"	0.00748364238583969	NA	NA
"111"	"111"	10	"included"	"gd"	0.00135746684299163	0.0176499554294915	NA
"112"	"1110"	12	"included"	"dx"	NA	0.00540341786565562	NA
"113"	"1111"	5	"included"	"gx"	0.0023240002405283	NA	NA
"114"	"1112"	2	"included"	"gx"	0.0397402004906332	NA	NA
"115"	"1113"	10	"included"	"gd"	0.000693953755649885	0.0566482419688479	NA
"116"	"1115"	10	"included"	"gdphi"	0.0014955715316677	0.0597549659406741	0.995719356679395
"117"	"1116"	10	"included"	"dx"	NA	0.0756533130553236	NA
"118"	"1117"	14	"included"	"dx"	NA	0.020261393564676	NA
"119"	"1118"	6	"included"	"gd"	0.00105023493366868	0.0659763651945975	NA
"120"	"1119"	12	"included"	"gdphi"	0.00223826376897311	0.00297969861023589	0.990144192633249
"121"	"112"	9	"included"	"gd"	0.00489419973001363	0.0137143668386873	NA
"122"	"1120"	10	"included"	"dx"	NA	0.0109510496983632	NA
"123"	"1122"	10	"included"	"gdphi"	0.00445254021515319	0.0183621166913337	0.865756326579522
"124"	"1123"	14	"included"	"gd"	0.000210850653798326	0.0281306366205633	NA
"125"	"1124"	22	"included"	"dx"	NA	0.00963752890882602	NA
"126"	"1126"	4	"included"	"gx"	0.0169261640749147	NA	NA
"127"	"1127"	16	"included"	"dx"	NA	0.000770920070857336	NA
"128"	"1128"	7	"included"	"gd"	0.00119805894924161	0.0308235784934918	NA
"129"	"1129"	3	"included"	"dx"	NA	0.00664049602561271	NA
"130"	"113"	10	"included"	"dx"	NA	0.0223108584353086	NA
"131"	"1130"	7	"included"	"gd"	0.000934331490159528	0.0455290248927826	NA
"132"	"1131"	12	"included"	"gdphi"	0.00249355046366334	0.0519672796320226	0.974772104435452
"133"	"1132"	3	"included"	"gd"	0.00838565524845949	0.025323398793781	NA
