"FMTNAME"	"START"	"END"	"LABEL"	"MIN"	"MAX"	"DEFAULT"	"LENGTH"	"FUZZ"	"PREFIX"	"MULT"	"FILL"	"NOEDIT"	"TYPE"	"SEXCL"	"EEXCL"	"HLO"	"DECSEP"	"DIG3SEP"	"DATATYPE"	"LANGUAGE"
"1"	"AEACT"	"              .Y"	"              .Y"	"ND"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"2"	"AEACT"	"              .Z"	"              .Z"	"NE"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"3"	"AEACT"	"               0"	"               0"	"NONE"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"4"	"AEACT"	"               1"	"               1"	"TEMPORARILY INTERRUPTED"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"5"	"AEACT"	"               2"	"               2"	"PERMANENTLY DISCONTINUED"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"6"	"AEACT"	"               4"	"               4"	"REGIMEN CHANGED-DOSE REDUCED"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"7"	"AEACT"	"               5"	"               5"	"REGIMEN CHANGED-FREQUENCY CHANGED"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"8"	"AEACT"	"               6"	"               6"	"REGIMEN CHANGED-OTHER"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"9"	"AEACT"	"               7"	"               7"	"REGIMEN CHANGED-DOSE REDUCED AND FREQUENCY CHANGED"	1	50	50	50	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"10"	"AEACTOH"	"              .Y"	"              .Y"	"ND"	1	40	15	15	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"11"	"AEACTOH"	"              .Z"	"              .Z"	"NE"	1	40	15	15	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"12"	"AEACTOH"	"               0"	"               0"	"NONE"	1	40	15	15	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"13"	"AEACTOH"	"               1"	"               1"	"HOSPITALIZATION"	1	40	15	15	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"14"	"AEACTON"	"              .Y"	"              .Y"	"ND"	1	40	4	4	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"15"	"AEACTON"	"              .Z"	"              .Z"	"NE"	1	40	4	4	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"16"	"AEACTON"	"               0"	"               0"	"NONE"	1	40	4	4	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"17"	"AECSLTY"	"              .Y"	"              .Y"	"ND"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"18"	"AECSLTY"	"              .Z"	"              .Z"	"NE"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"19"	"AECSLTY"	"               0"	"               0"	"NO"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"20"	"AECSLTY"	"               1"	"               1"	"UNLIKELY"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"21"	"AECSLTY"	"               2"	"               2"	"POSSIBLY"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"22"	"AECSLTY"	"               3"	"               3"	"PROBABLY"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"23"	"AEGRADE"	"              .Y"	"              .Y"	"ND"	1	40	16	16	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"24"	"AEGRADE"	"              .Z"	"              .Z"	"NE"	1	40	16	16	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
