"C_RTEST"	"U_SRTST"	"RTYPE"	"RSEX"	"SRVALOW"	"SRVALUP"	"RLABID"	"D_RLABSR"	"D_RLABSP"	"RTEST"	"RAGEL"	"RAGEH"	"STUDY"
"1"	""	"ng/ml"	""	3	0	10	"HU0000401"	2001-06-01	2001-06-01	"ALPHA 1-FETOPROTEIN"	18	109	"RP56976V 327"
"2"	""	"mmol/l"	""	1	2.25	2.7	"GB1163501"	2001-06-01	2222-12-31	"CALCIUM IONIZED CALCUL."	1	99	"RP56976V 327"
"3"	""	"mg/dl"	""	3	1.70100013948201	3.15900025903802	"AU2196603"	1999-11-01	2222-12-31	"MAGNESIUM SERUM"	0	109	"RP56976V 327"
"4"	""	"mg/dl"	""	3	1.6	2.6	"BR2195902"	2001-06-20	2001-10-21	"MAGNESIUM SERUM"	0	109	"RP56976V 327"
"5"	""	"mg/dl"	""	3	1.70100013948201	2.43000019926002	"CA1818403"	2001-01-22	2222-12-31	"MAGNESIUM SERUM"	0	109	"RP56976V 327"
"6"	""	"mg/dl"	""	1	1.70100013948201	2.43000019926002	"GB1163501"	2001-06-01	2222-12-31	"MAGNESIUM SERUM"	0	109	"RP56976V 327"
"7"	""	"mg/dl"	""	3	1.7	2.2	"LB0000101"	2001-07-04	2003-12-31	"MAGNESIUM SERUM"	0	109	"RP56976V 327"
"8"	""	"mg/dl"	""	1	1.8	2.4	"PR0000901"	2000-08-20	2222-12-31	"MAGNESIUM SERUM"	18	109	"RP56976V 327"
"9"	""	"mg/dl"	""	3	1.8	2.5	"US2106202"	NA	NA	"MAGNESIUM SERUM"	NA	NA	"RP56976V 327"
"10"	""	"mcg/l"	""	3	0	0.5	"AU2196603"	1999-11-01	2222-12-31	"PLASMATIC TROPONIN-I"	0	109	"RP56976V 327"
"11"	"0002"	"mmol/l"	"B"	1	3.57	17.85	"AR0001404"	2001-07-14	2222-12-31	"BLOOD UREA NITROGEN"	0	109	"RP56976V 327"
"12"	"0002"	"mmol/l"	"B"	3	2.5	6.5	"AU0002101"	2000-06-14	2222-12-31	"BLOOD UREA NITROGEN"	0	109	"RP56976V 327"
"13"	"0002"	"mmol/l"	"B"	3	2.5	8.3	"AU2196603"	1999-11-01	2222-12-31	"BLOOD UREA NITROGEN"	0	109	"RP56976V 327"
"14"	"0002"	"mmol/l"	"B"	1	5.355	17.85	"BE1382801"	2001-01-01	2222-12-31	"BLOOD UREA NITROGEN"	0	109	"RP56976V 327"
