"","First","Second","p","weight"
"BMI","BMI",NA,0.0214,2679.33333333333
"HEIGHTBL","HEIGHTBL",NA,0.6622,1549.33333333333
"WEIGHTBL","WEIGHTBL",NA,0.0891,1572.83333333333
"ALP","ALP",NA,0,3291.33333333333
"ALT","ALT",NA,0.7055,1820.33333333333
"AST","AST",NA,0,3376.66666666667
"CA","CA",NA,0.2216,1836.33333333333
"CREAT","CREAT",NA,0.5036,2315.66666666667
"HB","HB",NA,0,3369.66666666667
"LDH","LDH",NA,0,3405.66666666667
"NEU","NEU",NA,0.5343,1294.5
"PLT","PLT",NA,0.5917,445.166666666667
"PSA","PSA",NA,1e-04,2389
"TBILI","TBILI",NA,0.6872,768.166666666667
"TESTO","TESTO",NA,0.6548,1183.33333333333
"WBC","WBC",NA,0.8067,1272.66666666667
"CREACL","CREACL",NA,0.047,2171
"NA.","NA.",NA,0.0205,3032
"MG","MG",NA,0.5902,827.833333333333
"PHOS","PHOS",NA,0.1161,2024
"ALB","ALB",NA,4e-04,3316.66666666667
"TPRO","TPRO",NA,0.6706,1785.66666666667
"RBC","RBC",NA,0,3237.33333333333
"LYM","LYM",NA,0.0677,2031
"BUN","BUN",NA,0.7733,1244.66666666667
"CCRC","CCRC",NA,0.1908,2501
"GLU","GLU",NA,0.7487,890.5
"SYSTOLICBP","SYSTOLICBP",NA,0.0012,3192
"DIASTOLICBP","DIASTOLICBP",NA,0.0174,2286.5
"PULSE","PULSE",NA,0.6609,1017.83333333333
"HEMAT","HEMAT",NA,0,3354.33333333333
"SPEGRA","SPEGRA",NA,0.5752,2144.16666666667
"LYMperLEU","LYMperLEU",NA,0.0143,2684.33333333333
"MONO","MONO",NA,0.5694,954.166666666667
"MONOperLEU","MONOperLEU",NA,0.681,1339.5
"NEUperLEU","NEUperLEU",NA,0.1032,1830.33333333333
"POT","POT",NA,0.6258,1199
"BASOperLEU","BASOperLEU",NA,0.683,820.166666666667
"EOS","EOS",NA,0.8778,1209.16666666667
"EOSperLEU","EOSperLEU",NA,0.9062,535.166666666667
"TARGET","TARGET",NA,0.0118,3001
"LYMPH_NODES","LYMPH_NODES",NA,0.2111,1898
"KIDNEYS","KIDNEYS",NA,0.5866,943.166666666667
"LUNGS","LUNGS",NA,0.352,1102.16666666667
"LIVER","LIVER",NA,5e-04,3184
"PLEURA","PLEURA",NA,0.2259,1886.66666666667
"OTHER","OTHER",NA,0.6882,789.5
"PROSTATE","PROSTATE",NA,0.6906,705.833333333333
"ORCHIDECTOMY","ORCHIDECTOMY",NA,0.6295,1296.83333333333
"PROSTATECTOMY","PROSTATECTOMY",NA,0.5562,1491.83333333333
"LYMPHADENECTOMY","LYMPHADENECTOMY",NA,0.63,445.166666666667
"BILATERAL_ORCHIDECTOMY","BILATERAL_ORCHIDECTOMY",NA,0.5452,964
"PRIOR_RADIOTHERAPY","PRIOR_RADIOTHERAPY",NA,0.6829,1129.5
"ANALGESICS","ANALGESICS",NA,2e-04,2409.33333333333
"ANTI_ANDROGENS","ANTI_ANDROGENS",NA,0.6877,876.666666666667
"GLUCOCORTICOID","GLUCOCORTICOID",NA,0.7042,1294
"GONADOTROPIN","GONADOTROPIN",NA,0.4765,1687.83333333333
"BISPHOSPHONATE","BISPHOSPHONATE",NA,0.6472,1680.33333333333
"CORTICOSTEROID","CORTICOSTEROID",NA,0.5303,1660.66666666667
"IMIDAZOLE","IMIDAZOLE",NA,0.5263,863.833333333333
"ACE_INHIBITORS","ACE_INHIBITORS",NA,0.1491,2054.33333333333
"BETA_BLOCKING","BETA_BLOCKING",NA,0.7257,531.166666666667
"HMG_COA_REDUCT","HMG_COA_REDUCT",NA,0.7136,1569.33333333333
"ESTROGENS","ESTROGENS",NA,0.4267,2540
"ANTI_ESTROGENS","ANTI_ESTROGENS",NA,0.5535,1219.33333333333
"CEREBACC","CEREBACC",NA,0.6346,1915.33333333333
"CHF","CHF",NA,0.3776,2568.66666666667
"DVT","DVT",NA,0.7408,1728.16666666667
"DIAB","DIAB",NA,0.5868,946.833333333333
"MI","MI",NA,0.0689,2640
"PULMEMB","PULMEMB",NA,0.2136,1701.5
"SPINCOMP","SPINCOMP",NA,0.6269,574.5
"COPD","COPD",NA,0.7044,1473
"MHBLOOD","MHBLOOD",NA,0.6741,657.333333333333
"MHCARD","MHCARD",NA,0.11,2827.66666666667
"MHCONGEN","MHCONGEN",NA,0.5587,1021.33333333333
"MHEAR","MHEAR",NA,0.6643,1566.66666666667
"MHENDO","MHENDO",NA,0.5057,1907.33333333333
"MHGASTRO","MHGASTRO",NA,0.6737,445.166666666667
"MHHEPATO","MHHEPATO",NA,0.7257,885.166666666667
"MHIMMUNE","MHIMMUNE",NA,0.8536,1644
"MHINFECT","MHINFECT",NA,0.605,1664
"MHINJURY","MHINJURY",NA,0.7302,1164.83333333333
"MHINVEST","MHINVEST",NA,0.7029,913.166666666667
"MHMETAB","MHMETAB",NA,0.5929,918.166666666667
"MHPSYCH","MHPSYCH",NA,0.1451,2050
"MHRENAL","MHRENAL",NA,0.6325,445.166666666667
"MHRESP","MHRESP",NA,0.4044,1617
"MHSKIN","MHSKIN",NA,0.7218,445.166666666667
"MHVASC","MHVASC",NA,0.1843,1810
"ECOG_C","ECOG_C",NA,3e-04,2923
"AGEGRP2","AGEGRP2",NA,0.6309,719.833333333333
"RaceAsian","RaceAsian",NA,0.5588,1453.66666666667
"RaceBlack","RaceBlack",NA,0.7029,1076.66666666667
"RaceOther","RaceOther",NA,0.5031,1200.16666666667
"RaceWhite","RaceWhite",NA,0.5215,1044.83333333333
"RegionAsia","RegionAsia",NA,1,445.166666666667
"RegionEastEuro","RegionEastEuro",NA,0.0481,2456.33333333333
"RegionNorthAmer","RegionNorthAmer",NA,0.4878,1568.66666666667
"RegionSouthAmer","RegionSouthAmer",NA,0.6416,826.833333333333
"RegionWestEuro","RegionWestEuro",NA,0.5528,765.5
"BMIxBMI","BMI","BMI",0.0384,2366.66666666667
"BMIxHEIGHTBL","BMI","HEIGHTBL",0.0394,1983.5
"BMIxWEIGHTBL","BMI","WEIGHTBL",0.0669,1707.5
"BMIxALP","BMI","ALP",0,2699.33333333333
"BMIxALT","BMI","ALT",0.1934,2649.66666666667
"BMIxAST","BMI","AST",0.4372,1155.83333333333
"BMIxCA","BMI","CA",0.0104,2212.83333333333
"BMIxCREAT","BMI","CREAT",0.0758,2116.5
"BMIxHB","BMI","HB",0,3339.33333333333
"BMIxLDH","BMI","LDH",0.7936,795.833333333333
"BMIxNEU","BMI","NEU",0.8267,1513
"BMIxPLT","BMI","PLT",0.7465,1212
"BMIxPSA","BMI","PSA",0.0139,2605.33333333333
"BMIxTBILI","BMI","TBILI",0.2066,1935.5
"BMIxTESTO","BMI","TESTO",0.6446,872.333333333333
"BMIxWBC","BMI","WBC",0.3022,1156.16666666667
"BMIxCREACL","BMI","CREACL",0.0121,2767
"BMIxNA.","BMI","NA.",0.0079,2864.66666666667
"BMIxMG","BMI","MG",0.5305,1201.66666666667
"BMIxPHOS","BMI","PHOS",0.1395,2938
"BMIxALB","BMI","ALB",0,3297
"BMIxTPRO","BMI","TPRO",0.0466,2187.16666666667
"BMIxRBC","BMI","RBC",0,3253.33333333333
"BMIxLYM","BMI","LYM",0.0771,2463
"BMIxBUN","BMI","BUN",0.1351,2863.33333333333
"BMIxCCRC","BMI","CCRC",0.015,2708.66666666667
"BMIxGLU","BMI","GLU",0.2414,2318.66666666667
"BMIxSYSTOLICBP","BMI","SYSTOLICBP",3e-04,3265.66666666667
"BMIxDIASTOLICBP","BMI","DIASTOLICBP",0.0023,2736.33333333333
"BMIxPULSE","BMI","PULSE",0.1729,2124.5
"BMIxHEMAT","BMI","HEMAT",0,3324
"BMIxSPEGRA","BMI","SPEGRA",0.019,2692.66666666667
"BMIxLYMperLEU","BMI","LYMperLEU",8e-04,2949.33333333333
"BMIxMONO","BMI","MONO",0.8577,1150
"BMIxMONOperLEU","BMI","MONOperLEU",0.6335,1054.66666666667
"BMIxNEUperLEU","BMI","NEUperLEU",0.7309,1233
"BMIxPOT","BMI","POT",0.0739,2931.66666666667
"BMIxBASOperLEU","BMI","BASOperLEU",0.1586,1936.33333333333
"BMIxEOS","BMI","EOS",0.9726,1280.5
"BMIxEOSperLEU","BMI","EOSperLEU",0.5296,1092.66666666667
"BMIxAGEGRP2","BMI","AGEGRP2",0.7475,1133.83333333333
"HEIGHTBLxHEIGHTBL","HEIGHTBL","HEIGHTBL",0.6723,1491
"HEIGHTBLxWEIGHTBL","HEIGHTBL","WEIGHTBL",0.1922,1432.16666666667
