"INV"	"SITENAME"
"1"	"001"	"Oncology Hematology Care"
"2"	"002"	"Cross Cancer Institute"
"3"	"003"	"Tom Baker Cancer Centre"
"4"	"004"	"Hernando Pasco Associates PA"
"5"	"005"	"Pasco Hernando Oncology Associates, PA"
"6"	"006"	"Gabrail Cancer Center"
"7"	"007"	"Staten Island Urological Research"
"8"	"008"	"New Mexico Cancer Care Assoc"
"9"	"009"	"Nebraska Hematology Oncology, P.C."
"10"	"010"	"Texas Oncology, PA - Sugar Land"
"11"	"011"	"Hematology & Oncology Assoc. of SC"
"12"	"012"	"Dayton Oncology and Hematology"
"13"	"013"	"Ocala Oncology Center"
"14"	"014"	"Texas Oncology, PA - Austin"
"15"	"015"	"Texas Onc. Cancer Care and Research Ctr"
"16"	"016"	"Cancer Care Network of South Texas"
"17"	"017"	"Texas Oncology, PA - Beumont"
"18"	"018"	"Texas Oncology, PA - Houston"
"19"	"019"	"South Texas Cancer Center"
"20"	"020"	"Florida Cancer Institute"
"21"	"021"	"Texas Oncology, PA - Bedford"
"22"	"022"	"Texas Cancer Center - Arlington"
"23"	"023"	"St. Joseph Oncology, Inc."
"24"	"024"	"Cancer Centers of NC"
"25"	"025"	"Missouri Cancer Associates"
"26"	"027"	"Cancer Centers of Florida, PA"
"27"	"028"	"Texas Oncology, PA - Odessa"
"28"	"030"	"Texas Oncology, PA - Midland"
"29"	"031"	"Texas Oncology, PA - Dallas (McIntyre)"
"30"	"032"	"Texas Cancer Center of Mesquite"
"31"	"033"	"Texas Cancer Center- Abiliene"
"32"	"034"	"Cancer Care Associates"
"33"	"035"	"Cancer Care Associates (Tulsa, OK)"
"34"	"036"	"Windsor Regional Cancer Centre"
"35"	"037"	"Innovative Medical Research of S.Florida"
"36"	"038"	"Hem/Onc Associates of IL (Skokie)"
"37"	"039"	"Texas Oncology, PA - Fort Worth"
"38"	"040"	"Texas Oncology, PA - El Paso"
"39"	"041"	"Memorial Sloan-Kettering Cancer Center"
"40"	"042"	"Maryland Oncology"
"41"	"043"	"Central Indiana Cancer Centers"
"42"	"044"	"Hem/Onc Associates of IL (Chicago)"
"43"	"045"	"Cancer Care Specialists - Chicagoland"
"44"	"046"	"Hope Center"
"45"	"047"	"Medical Oncology Assoc of Wyoming Valley"
"46"	"048"	"Puget Sound Cancer Center - Edmonds"
"47"	"049"	"Puget Sound Cancer Center - Seattle"
"48"	"050"	"Willamette Valley Cancer Center"
"49"	"051"	"Highline Medical Oncology"
"50"	"052"	"NW Cancer Specialists"
"51"	"053"	"Yakima Regional Cancer Center"
"52"	"054"	"Texas Oncology, PA - Lewisville"
"53"	"055"	"Texas Oncology, PA - Dallas (Savin)"
